index,card_name,set_name,card_id,binder_name,page_number,slot_number,card_market_value
1-7-6,Ponyta,Base,base1-60,1,7,6,0.4
1-7-7,Rattata,Base,base1-61,1,7,7,0.69
1-7-8,Sandshrew,Base,base1-62,1,7,8,0.72
1-7-9,Squirtle,Base,base1-63,1,7,9,3.23
1-8-1,Starmie,Base,base1-64,1,8,1,0.58
1-8-2,Staryu,Base,base1-65,1,8,2,0.57
1-8-3,Tangela,Base,base1-66,1,8,3,0.7
1-8-4,Voltorb,Base,base1-67,1,8,4,1.41
1-8-5,Vulpix,Base,base1-68,1,8,5,0.73
1-8-6,Weedle,Base,base1-69,1,8,6,0.52
1-8-7,Clefairy Doll,Base,base1-70,1,8,7,6.48
1-8-8,Computer Search,Base,base1-71,1,8,8,2.79
1-8-9,Devolution Spray,Base,base1-72,1,8,9,4.35
1-9-1,Impostor Professor Oak,Base,base1-73,1,9,1,5.57
1-9-2,Item Finder,Base,base1-74,1,9,2,9.1
1-9-3,Lass,Base,base1-75,1,9,3,2.57
1-9-4,Pokémon Breeder,Base,base1-76,1,9,4,7.68
1-9-5,Pokémon Trader,Base,base1-77,1,9,5,5.16
1-9-6,Scoop Up,Base,base1-78,1,9,6,7.75
1-9-7,Super Energy Removal,Base,base1-79,1,9,7,3.96
1-9-8,Defender,Base,base1-80,1,9,8,1.28
1-9-9,Energy Retrieval,Base,base1-81,1,9,9,0.45
1-10-1,Full Heal,Base,base1-82,1,10,1,1.81
1-10-2,Maintenance,Base,base1-83,1,10,2,2.21
1-10-3,PlusPower,Base,base1-84,1,10,3,0.56
1-10-4,Pokémon Center,Base,base1-85,1,10,4,1.78
1-10-5,Pokémon Flute,Base,base1-86,1,10,5,2.7
1-10-6,Pokédex,Base,base1-87,1,10,6,0.47
1-10-7,Professor Oak,Base,base1-88,1,10,7,1.47
1-10-8,Revive,Base,base1-89,1,10,8,2.38
1-10-9,Super Potion,Base,base1-90,1,10,9,0.27
1-11-1,Bill,Base,base1-91,1,11,1,0.33
1-11-2,Energy Removal,Base,base1-92,1,11,2,0.29
1-11-3,Gust of Wind,Base,base1-93,1,11,3,0.3
1-11-4,Potion,Base,base1-94,1,11,4,0.22
1-11-5,Switch,Base,base1-95,1,11,5,0.29
1-11-6,Double Colorless Energy,Base,base1-96,1,11,6,5.19
1-11-7,Fighting Energy,Base,base1-97,1,11,7,0.24
1-11-8,Fire Energy,Base,base1-98,1,11,8,0.27
1-11-9,Grass Energy,Base,base1-99,1,11,9,0.24
1-12-1,Lightning Energy,Base,base1-100,1,12,1,0.47
1-12-2,Psychic Energy,Base,base1-101,1,12,2,0.3
1-12-3,Water Energy,Base,base1-102,1,12,3,0.28
1-12-4,Charizard,Base,base1-4,1,12,4,459.35
1-12-5,Blastoise,Base,base1-2,1,12,5,160.51
1-12-6,Venusaur,Base,base1-15,1,12,6,124.9
1-12-7,Mewtwo,Base,base1-10,1,12,7,42.56
1-12-8,Zapdos,Base,base1-16,1,12,8,37.84
1-12-9,Raichu,Base,base1-14,1,12,9,42.65
1-13-1,Alakazam,Base,base1-1,1,13,1,49.98
1-13-2,Chansey,Base,base1-3,1,13,2,23.23
1-13-3,Ninetales,Base,base1-12,1,13,3,22.78
1-13-4,Machamp,Base,base1-8,1,13,4,0.0
1-13-5,Charizard,Base,base1-4,1,13,5,459.35
1-13-6,Mewtwo,Base,base1-10,1,13,6,42.56
1-13-7,Pikachu,Base,base1-58,1,13,7,4.51
1-13-8,Bulbasaur,Base,base1-44,1,13,8,2.22
1-13-9,Charmander,Base,base1-46,1,13,9,1.72
1-14-1,Squirtle,Base,base1-63,1,14,1,3.23
1-14-2,Pidgey,Base,base1-57,1,14,2,0.97
1-14-3,Rattata,Base,base1-61,1,14,3,0.69
1-14-4,Clefairy,Base,base1-5,1,14,4,24.87
1-14-5,Jynx,Base,base1-31,1,14,5,0.79
1-14-6,Magikarp,Base,base1-35,1,14,6,2.18
1-14-7,Abra,Base,base1-43,1,14,7,0.99
1-14-8,Machop,Base,base1-52,1,14,8,0.44
1-14-9,Magnemite,Base,base1-53,1,14,9,0.47
1-15-1,Koffing,Base,base1-51,1,15,1,0.47
1-15-2,Gastly,Base,base1-50,1,15,2,0.67
1-15-3,Vulpix,Base,base1-68,1,15,3,0.73
1-15-4,Ponyta,Base,base1-60,1,15,4,0.4
1-15-5,Drowzee,Base,base1-49,1,15,5,0.58
1-15-6,Diglett,Base,base1-47,1,15,6,0.51
1-15-7,Weedle,Base,base1-69,1,15,7,0.52
1-15-8,Caterpie,Base,base1-45,1,15,8,1.38
1-15-9,Nidoran ♂,Base,base1-55,1,15,9,0.65
1-16-1,Poliwag,Base,base1-59,1,16,1,0.51
1-16-2,Poliwhirl,Base,base1-38,1,16,2,1.13
1-16-3,Ivysaur,Base,base1-30,1,16,3,3.03
1-16-4,Wartortle,Base,base1-42,1,16,4,3.29
1-16-5,Charmeleon,Base,base1-24,1,16,5,2.2
1-16-6,Kadabra,Base,base1-32,1,16,6,1.24
1-16-7,Machoke,Base,base1-34,1,16,7,0.67
1-16-8,Kakuna,Base,base1-33,1,16,8,1.12
1-16-9,Metapod,Base,base1-54,1,16,9,0.81
1-17-1,Dragonair,Base,base1-18,1,17,1,11.85
1-17-2,Dratini,Base,base1-26,1,17,2,1.94
1-17-3,Growlithe,Base,base1-28,1,17,3,1.11
1-17-4,Arcanine,Base,base1-23,1,17,4,3.72
1-17-5,Electrode,Base,base1-21,1,17,5,6.36
1-17-6,Electabuzz,Base,base1-20,1,17,6,7.11
1-17-7,Starmie,Base,base1-64,1,17,7,0.58
1-17-8,Staryu,Base,base1-65,1,17,8,0.57
1-17-9,Double Colorless Energy,Base,base1-96,1,17,9,5.19
1-18-1,Professor Oak,Base,base1-88,1,18,1,1.47
1-18-2,Bill,Base,base1-91,1,18,2,0.33
1-18-3,Energy Removal,Base,base1-92,1,18,3,0.29
1-18-4,Pokédex,Base,base1-87,1,18,4,0.47
1-18-5,Switch,Base,base1-95,1,18,5,0.29
1-18-6,Potion,Base,base1-94,1,18,6,0.22
1-18-7,Super Potion,Base,base1-90,1,18,7,0.27
1-18-8,Pokémon Center,Base,base1-85,1,18,8,1.78
1-18-9,Energy Retrieval,Base,base1-81,1,18,9,0.45
